"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"37",0.2,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"38",0.2,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"39",0.2,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"40",0.2,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"41",0.2,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"42",0.2,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"43",0.2,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"44",0.2,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"45",0.2,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"46",0.2,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"47",0.2,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"48",0.2,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"49",0.25,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"50",0.25,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"51",0.25,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"52",0.25,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"53",0.25,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"54",0.25,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"55",0.25,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"56",0.25,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"57",0.25,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"58",0.25,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"59",0.25,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"60",0.25,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"61",0.3,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"62",0.3,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"63",0.3,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"64",0.3,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"65",0.3,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"66",0.3,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"67",0.3,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"68",0.3,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"69",0.3,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"70",0.3,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"71",0.3,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"72",0.3,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"73",0.35,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"74",0.35,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"75",0.35,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"76",0.35,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"77",0.35,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"78",0.35,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"79",0.35,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"80",0.35,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"81",0.35,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"82",0.35,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"83",0.35,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"84",0.35,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"85",0.4,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"86",0.4,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
