"","adrenocortical","cabeza cuello","cerebro","cervical","colangiocarcinoma","colon","esófago","estómago","hígado","leucemia","linfoma células B","mama","mesotelioma","ovario","páncreas","paraganglioma","piel","próstata","pulmón","riñón","sarcoma","testículos","timoma","tiroides","útero","úvea","vejiga","MeanDecreaseAccuracy","MeanDecreaseGini"
"ENSG00000158806",5.95238095238095e-05,0.000488430220573078,-8.16326530612245e-05,6.49350649350649e-05,0.000215136054421769,0.000136083162868877,-7.03463203463204e-05,0.00101541712255998,-0.000128205128205128,-5.49450549450549e-05,0.000974541331684189,0.00221822820037106,0.000548372262657977,0.000623168498168498,0.000634379509379509,0.000911099812885527,1.55717298574442e-05,0.000143776858062572,-2.98748870177441e-05,-3.83089133089133e-05,0.000170686456400742,0.000515571729857444,0.00262647273361559,0.00621587043908473,-6.1253230896088e-05,0.00243841475984333,0.000263888888888889,0.000766018525555453,0.565876350935549
"ENSG00000153253",0.00012987012987013,0.000264334171897197,0.00378249330035044,0.000245421245421245,8.21817071817072e-05,0.000246253746253746,-0.000113335077620792,-9.20299938157081e-05,0.000603859725708465,-0.000102040816326531,-8.07823129251701e-05,5.95238095238095e-05,0.000299843014128728,0.000564484126984127,6.95138195138195e-05,0.00331457431457431,0.000550970737945528,0.000197802197802198,0.000199546485260771,4.19243454957741e-05,-3.05944055944056e-05,0.000164835164835165,0.00209266923552638,0.000538744985173557,0.000237528344671202,0.00185474644403216,0.000278035456606885,0.000556438282569836,0.504510472812594
"ENSG00000165269",0.00048191094619666,0.000244854351997209,0.000627705627705628,0.00023015873015873,0.00127473716759431,0.000616883116883117,0.000246340960626675,0.000113121005978149,0.00244600439243296,0.000493197278911565,0.000284632034632035,1.44300144300144e-05,0.000308441558441558,0.000113636363636364,0.000294705294705295,0,0.000351473922902494,0.0011271645021645,-0.00013284632034632,0.00117130290344576,-9.99000999000999e-06,0.000281204906204906,0.000457482993197279,0.000220122139764997,8.73015873015873e-05,0,0.000178571428571429,0.000407701410497582,0.361943490641818
"ENSG00000172987",0.000147186147186147,0.00174917542774686,0.000158730158730159,0.000225340136054422,-9.62615815556992e-05,-5.95238095238095e-05,0.000357321250178393,0.000134894867037724,0.000370748299319728,5.95238095238095e-05,0.000676406926406926,0.000309153148438863,9.52380952380952e-05,5.41125541125542e-06,0.000382077831132453,0.000243506493506494,-7.76207919065062e-05,0.00175566135545127,-0.000108534322820037,0.000244588744588745,0.000173469387755102,0.000803244374672946,-0.000307539682539682,-0.000171016483516484,-0.000261904761904762,0.000372405372405372,-0.000225481859410431,0.000253883666940052,0.419369793877495
"ENSG00000157150",-1.40950319521748e-05,0.000514842300556586,0.00482792009577724,0.00076021201021201,0.000481601731601732,0.000999716553287982,5.05050505050505e-05,-4.3040293040293e-05,0.00014030612244898,0.000149350649350649,0.00093986568986569,0.000274616256759114,-1.44300144300144e-05,0.000276513169370312,0.000468846629560915,0.00137240537240537,0.00131603019995877,0.000238095238095238,0.000164072039072039,0.000278769841269841,0.00400800984729556,0.000627497502497502,0.00048015873015873,0.000381784881784882,0.000967738610595754,0.000603110474959214,7.12977498691786e-06,0.000734626415531405,0.689566526836798
"ENSG00000152766",0.000956632653061224,0.000558295870795871,5.95238095238095e-05,0.000301587301587302,0.00018140589569161,0.00107938886510315,0.000162654805511948,0.000252860235003092,0.000280612244897959,0,0.000438775510204082,0.000120439084724799,0.00012987012987013,0.000527309991595706,0.00119302721088435,0.00075908636059012,0.00030952380952381,0.000501373626373626,0.000158730158730159,1.92307692307692e-05,-0.00028027528027528,0.000115122972265829,0.000321428571428571,-0.000134310134310134,-0.000257282400139543,0.00198218844647416,0.000422008547008547,0.000376296872136046,0.343747694370014
"ENSG00000205517",-0.000371031746031746,0.00063126159554731,-3.23565323565323e-05,-5.4514229934398e-05,0.00426732196375054,-0.000262987012987013,0.000134619348905063,8.47763347763348e-05,0.000401695526695527,0.000193877551020408,0.000664502164502164,6.41204034061177e-05,0.000447552447552448,0.000989517427017427,0.000638347763347763,0.000248778998778999,1.27551020408163e-05,0.000269539983825698,0.00036595547309833,-1.42882910740054e-05,0.000255102040816326,0.000630873721099285,0.000531135531135531,0.0062960828853686,-0.000235191395905682,0.000512955182072829,5.38548752834467e-05,0.000615646656004733,0.577938289972387
"ENSG00000144191",0.000168650793650794,0.000718018093018093,0.00416605616605617,0.000238945578231292,0.00141287878787879,8.33333333333334e-05,0.000138888888888889,-0.000298763736263736,0.000238997113997114,0.000612244897959184,-7.14285714285714e-05,7.14285714285714e-05,8.33333333333333e-05,5.41125541125541e-06,0.000542851989280561,-7.54800754800755e-05,0.000224358974358974,0.000603174603174603,0.000434910327767471,0.000134379509379509,0.000453187685330542,0.000310425685425685,-0.000102564102564103,0.000635822510822511,0.00011595547309833,5.49450549450549e-05,0.000162157287157287,0.000394532981080497,0.418965485598626
"ENSG00000205929",-5.15357658214801e-05,0.000375850340136054,0.00369654452690167,0.000300453514739229,0.000966890835588315,-0.000297619047619048,-0.000198013296227582,0.000598711804068947,0.000872766122766123,0.00360770975056689,0.000428391053391053,0.000573863636363636,-3.06122448979592e-05,-0.000217068645640074,0.000528086992372707,-3.68916797488226e-05,0.00026753008895866,-0.00023015873015873,0.000369810744810745,0.00585067115424258,0.000930465367965368,0.000599376813662528,0.000269016697588126,0.00131476856476856,0.00021969696969697,0.000683455433455433,0.000616478759335902,0.000778798280941658,0.664115979738594
"ENSG00000181649",0.000883279418993705,0.000554730983302412,0.00089253008895866,0.000261904761904762,0.000546794475365904,0.000190018315018315,0.000534039373325088,0.00117146742146742,-2.83882783882784e-05,0.00111111111111111,0.000534528963100392,0.000225649350649351,0.0001890589569161,0.00014030612244898,0.000720547309833024,0.000222222222222222,0.000171201814058957,8.92857142857143e-05,-0.000219482898054327,0.000303178847296494,0.000269532055246341,0.000290133477633478,0.00711020923520924,0.000209165834165834,0.00023015873015873,0.000333555333555334,0.000314368171511029,0.000631275414074115,0.552378360218263
