"","mtry","Accuracy","Kappa","AccuracySD","KappaSD","ntree"
"64",85,0.941044725648506,0.938736359678803,0.0294792928236556,0.030635149412348,"1000"
"65",110,0.941068153165604,0.938761666741048,0.0281708242616524,0.0292761219788769,"1000"
"66",135,0.937972877469752,0.935547173545641,0.0320834534891531,0.0333411986425997,"1000"
"67",160,0.939692916694477,0.937332752855538,0.0332459759755456,0.0345515597152093,"1000"
"68",185,0.936656936101179,0.934178317240416,0.0312495276895555,0.0324758337749899,"1000"
"69",210,0.938868094965546,0.936477328729645,0.0321940708803743,0.0334560644254609,"1000"
"70",235,0.93668666267885,0.934209725813369,0.031273434107871,0.0325011031523388,"1000"
"71",260,0.934006572850239,0.931425620615811,0.032574031236952,0.0338494134690641,"1000"
"72",285,0.935819937158917,0.933310749608009,0.0306371881831218,0.0318365247654097,"1000"
"73",10,0.943837958289695,0.941640767977036,0.0206983570837665,0.0215038706749735,"1100"
"74",35,0.94598677689854,0.943873356720263,0.0188467782081978,0.0195811772307829,"1100"
"75",60,0.944674286678655,0.942509136306106,0.0215549033323236,0.0223982173158865,"1100"
"76",85,0.944235464246161,0.942052741704816,0.0202158728803366,0.0210060128443682,"1100"
"77",110,0.945528019032387,0.94339619062993,0.0227578063858711,0.0236467841607567,"1100"
"78",135,0.942007387912822,0.939737162358171,0.0219322423195718,0.0227906958502402,"1100"
"79",160,0.941539544886018,0.939250376706383,0.0226288907879377,0.0235165499886379,"1100"
"80",185,0.940690861425742,0.938370849462229,0.0222496392762287,0.0231200256963302,"1100"
"81",210,0.940229440082242,0.937888723686709,0.0234110211225974,0.0243301523221662,"1100"
"82",235,0.937209219944101,0.934750696023012,0.0246828738882485,0.025650292118772,"1100"
"83",260,0.93808733076958,0.935663902521439,0.0242798728001892,0.0252294069220235,"1100"
"84",285,0.938508961750172,0.936101809831181,0.0229025706823026,0.0237996228401525,"1100"
"85",10,0.943065026829056,0.940840331562999,0.0220905953200804,0.0229513845016392,"1200"
"86",35,0.945217421101015,0.943076570432382,0.0201572856944071,0.0209449913475122,"1200"
"87",60,0.943473210197266,0.941263901804264,0.0201039412277486,0.0208883183724243,"1200"
"88",85,0.944806672239854,0.942647887169237,0.0188934453452835,0.0196301669725735,"1200"
"89",110,0.946087452878442,0.943979550965197,0.0185490232009395,0.0192730480757725,"1200"
"90",135,0.943004085341376,0.94077578676533,0.019219289259267,0.0199677873997724,"1200"
"91",160,0.941712016439358,0.939433831673949,0.0201371783954209,0.0209207378640234,"1200"
"92",185,0.942600331636634,0.940357011261382,0.0191422752797746,0.0198878745483513,"1200"
"93",210,0.940686394676394,0.938367621378741,0.0203046120214602,0.0211000707664133,"1200"
"94",235,0.941604583688831,0.939323835597064,0.0199212230066182,0.0206957453505568,"1200"
"95",260,0.939427373156357,0.937061838433379,0.0209925733897017,0.0218098356914689,"1200"
"96",285,0.940749320530936,0.938435636904079,0.0204356291836025,0.0212299717441138,"1200"
"97",10,0.946446132760038,0.944350451071757,0.0195589434303742,0.0203253073372595,"1300"
"98",35,0.943806775870681,0.941606104518255,0.022141035997898,0.023012071094109,"1300"
"99",60,0.94336153947339,0.941145630023453,0.0220117282035638,0.0228742459269949,"1300"
"100",85,0.943434942994162,0.941221589284053,0.0200799882512026,0.0208675880262011,"1300"
"101",110,0.944299807521607,0.942120407532836,0.019663755946348,0.0204355471647212,"1300"
"102",135,0.943005437209892,0.940775549382483,0.0211998623474694,0.0220317558641865,"1300"
